1,104
2,108
3,111
4,110
5,110
6,97
7,77
8,71
9,73
10,75
11,81
12,87
13,95
14,97
15,98
16,98
17,101
18,97
19,69
20,76
21,84
22,92
23,96
24,94
25,77
26,73
27,70
28,70
29,70
30,77
31,87
32,93
33,105
34,105
35,107
36,99
37,67
38,65
39,68
40,68
41,79
42,92
43,102
44,104
45,102
46,98
47,69
48,69
49,70
50,76
51,89
52,95
53,104
54,105
55,106
56,104
57,76
58,74
59,74
60,80
61,91
62,98
63,105
64,108
65,108
66,109
67,101
68,76
69,74
70,75
71,86
72,94
73,104
74,108
75,108
76,102
77,75
78,75
79,80
80,84
81,91
82,97
83,107
84,107
85,107
86,101
87,73
88,73
89,77
90,81
91,90
92,104
93,108
94,108
95,108
96,101
97,77
98,70
99,74
100,77
101,86
102,94
103,104
104,105
105,107
106,107
107,78
108,79
109,83
110,86
111,98
112,102
113,110
114,111
115,111
116,107
117,86
118,81
119,84
120,89
