1,94
2,94
3,94
4,96
5,101
6,105
7,110
8,110
9,104
10,98
11,98
12,101
13,101
14,101
15,101
16,97
17,96
18,98
19,102
20,102
21,107
22,101
23,98
24,98
25,97
26,100
27,100
28,98
29,98
30,101
31,101
32,98
33,98
34,98
35,100
36,100
37,100
38,100
39,98
40,97
41,97
42,97
43,100
44,101
45,101
46,101
47,100
48,101
49,100
50,101
51,98
52,98
53,98
54,100
55,104
56,104
57,104
58,104
59,101
60,97
61,96
62,98
63,102
64,102
65,103
66,101
67,98
68,98
69,100
70,98
71,96
72,94
73,94
74,97
75,102
76,107
77,110
78,108
79,110
80,100
81,96
82,95
83,95
84,95
85,97
86,101
87,102
88,102
89,102
90,102
91,100
92,98
93,98
94,98
95,101
96,104
97,104
98,104
99,104
100,104
101,101
102,96
103,96
104,100
105,102
106,104
107,105
108,105
109,105
110,105
111,102
112,100
113,100
114,100
115,102
116,102
117,100
118,98
119,98
120,99
