1,75
2,81
3,86
4,86
5,85
6,70
7,61
8,54
9,54
10,57
11,70
12,75
13,87
14,89
15,89
16,83
17,62
18,53
19,53
20,56
21,72
22,78
23,88
24,89
25,89
26,88
27,71
28,59
29,59
30,60
31,69
32,74
33,86
34,90
35,90
36,90
37,89
38,62
39,57
40,57
41,69
42,78
43,86
44,93
45,93
46,92
47,64
48,61
49,59
50,57
51,65
52,72
53,78
54,87
55,87
56,87
57,62
58,61
59,60
60,60
61,72
62,78
63,86
64,87
65,87
66,88
67,62
68,62
69,63
70,63
71,64
72,77
73,81
74,91
75,91
76,93
77,92
78,63
79,60
80,61
81,63
82,74
83,82
84,89
85,91
86,91
87,90
88,66
89,61
90,60
91,60
92,66
93,76
94,81
95,91
96,91
97,91
98,63
99,61
100,61
101,62
102,72
103,81
104,88
105,90
106,90
107,90
108,89
109,61
110,60
111,64
112,65
113,72
114,81
115,89
116,92
117,92
118,92
119,63
120,60
